year,paper,subject_slug,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,difficulty
2015,Paper-II,som,"If a simply supported beam of 5 m span carries a point load of 100 kN at 2 m from LHS, the maximum bending moment on it is","62.5 kN m","120 kN m","125 kN m","312.5 kN m",2,N/A,medium
2015,Paper-II,som,"For a solid circular beam of 40 mm dia, the section modulus is","π × 10³ mm³","2π × 10³ mm³","4π × 10³ mm³","8π × 10³ mm³",3,N/A,medium
2015,Paper-II,som,"If maximum slope of a simply supported beam of span 'L' with midpoint load is 1°, then maximum deflection is","πL / 240","πL / 270","πL / 540","πL / 576",4,N/A,medium
2015,Paper-II,som,"Moment area method can be easily adopted for the following case:","Simply supported beam with eccentric point load","Simply supported beam with point loads & UDL","Simply supported beam with two symmetrically placed unequal point loads","Cantilever with point loads and UDL",4,N/A,medium
2015,Paper-II,som,"The resultant of two collinear forces P and Q, which are acting in opposite direction is","P + Q","P - Q","√(P² + Q²)","√(P² - Q²)",2,N/A,medium
2015,Paper-II,som,"The force system that is applied to open a bottle cap is called","Collinear forces","Like parallel forces","Unlike parallel forces",Couple,4,N/A,medium
2015,Paper-II,som,"In a circular section of diameter D, if 'D' is doubled, then its polar M.I. will be increased by","4 times","8 times","16 times","32 times",3,N/A,medium
2015,Paper-II,som,"In case of a stepped bar of a material subjected to an axial load, the total elongation is proportional to","P / E","[I₁ + I₂ + ... + Iₙ]","[1/A₁ + 1/A₂ + ... + 1/Aₙ]","[I₁/A₁ + I₂/A₂ + ... + Iₙ/Aₙ]",4,N/A,medium
2015,Paper-II,som,"The unit for modulus of resilience is",Joule,"Joules/mm","Joules/mm²","Joules/mm³",4,N/A,medium
2015,Paper-II,som,"Variation of bending moment under a UDL, in a beam is","Straight line variation","Parabolic variation","Cubic variation","Zero i.e. horizontal straight line",2,N/A,medium
2015,Paper-II,som,"In case of an I-beam, major percentage of the shear force at a section is resisted by","Top flange","Bottom flange","Top and bottom flanges together",Web,4,N/A,medium
2015,Paper-II,som,"Maximum deflection in a simply supported beam subjected to pure bending is given by","δ = ML/(2EI)","δ = ML²/(8EI)","δ = ML²/(12EI)","δ = (5/48)(ML²/EI)",1,N/A,medium
2015,Paper-II,som,"Other parameters being unchanged, if the span of a cantilever carrying end point load is doubled, the maximum slope is increased by","2 times","4 times","8 times","16 times",2,N/A,medium
2015,Paper-II,hydraulics,"The condition for stability of a dam against over turning is","(P·h/3)/[W(b - x̄)] ≥ f.s.","W(b - x̄)/(P×h/3) ≥ f.s.","(P·h/3)/(W·b) ≥ f.s.","W·b/(P·h/3) ≥ f.s.",4,N/A,medium
2015,Paper-II,som,"The horizontal component of a force P acting towards north is",0,P,"2P","~",1,N/A,medium
2015,Paper-II,som,"The moment of inertia of a semi-circle of diameter D about its base diameter","πD⁴/32","πD⁴/64","πD⁴/128","πD⁴/256",3,N/A,medium
2015,Paper-II,som,"The number of unknown reactions to be found at a fixed support of a beam, during analysis is/are",1,2,3,4,3,N/A,medium
2015,Paper-II,som,"Effective length of a column of length 'L' with one end fixed and other end hinged is given by","Le = L","Le = L/2","Le = L/√2","Le = 2L",3,N/A,medium
2015,Paper-II,hydraulics,"If cohesion > adhesion, then","Capillary rise occurs",Depression occurs,"remain plane","either rise or fall",1,N/A,medium
2015,Paper-II,hydraulics,"For a vacuum pressure of 4.5m of water, the equivalent absolute pressure is","5.83m of water","14.83m of water","12.33m of water","8.83m of water",1,N/A,medium
2015,Paper-II,hydraulics,"A vertical triangular area with vortex downward and altitude 'h' has its base on the free surface of the liquid. The centre of pressure below the free surface will be at a depth of","h/4","h/3","h/2","2h/3",3,N/A,medium
2015,Paper-II,hydraulics,"The velocity at the Reynold's number equal to 2000 is called","Critical velocity","Lower critical velocity","Higher critical velocity","Uniform velocity",2,N/A,medium
2015,Paper-II,hydraulics,"To avoid separation, the most suitable ratio of throat diameter and pipe diameter in a venturimeter","1/4 to 1/2","1/3 to 1/2","1/3 to 1","1 to 4",2,N/A,medium
2015,Paper-II,hydraulics,"Due to each end contraction, the crest length is reduced by","0.1 L","0.1 H","0.1 v²/2g","0.01 L",1,N/A,medium
2015,Paper-II,hydraulics,"Condition for broad crested weir is","2b > H","2b < H","H < b","b = 2H",1,N/A,medium
2015,Paper-II,hydraulics,"To prevent cavitation to occur, the maximum height of the summit of the syphon shall be","7.5 m","10.3 m","15 m","20 m",1,N/A,medium
2015,Paper-II,hydraulics,"A turbine is a device which converts","Hydraulic energy into Mechanical energy","Mechanical energy into Hydraulic energy","Kinetic energy into Mechanical energy","Electrical energy into Mechanical energy",1,N/A,medium
2015,Paper-II,hydraulics,"Francis turbine is a","Axial flow impulse turbine","Radial flow reaction turbine","Axial flow reaction turbine","Radial flow impulse turbine",2,N/A,medium
2015,Paper-II,hydraulics,"Capillarity is due to","Cohesion only","Adhesion only","Both cohesion and adhesion","Viscosity only",3,N/A,medium
2015,Paper-II,hydraulics,"The position of centre of pressure on a plane surface immersed vertically in a static mass of fluid is","at the centre of submerged area","always above the centre of gravity","always below the centre of gravity","has no relation with centre of gravity",3,N/A,medium
2015,Paper-II,hydraulics,"Hydraulic gradient line (HGL) represents sum of","Pressure head and kinetic head","Kinetic head and datum head","Pressure head, kinetic head & datum head","Pressure head and datum head",4,N/A,medium
2015,Paper-II,hydraulics,"The inlet length of venturimeter","is equal to the outlet length","is more than the outlet length","is less than the outlet length","has no relation with the outlet length",2,N/A,medium
2015,Paper-II,hydraulics,"The average value of co-efficient of velocity is",0.62,0.76,0.84,0.97,4,N/A,medium
2015,Paper-II,hydraulics,"The discharge over a right angled V-notch is","(8/15)Cd√(2g)H^(3/2)","(8/15)Cd√(2g)H³/2","(8/15)Cd√(2g)H²","(8/15)Cd√(2g)H^(5/2)",4,N/A,medium
2015,Paper-II,hydraulics,"Low discharges are effectively measured by","Rectangular notch","Stepped notch","Trapezoidal notch","Triangular notch",4,N/A,medium
2015,Paper-II,hydraulics,"The hydraulic mean depth of a pipe of 1 m diameter flowing full is","0.12 m","0.5 m","0.25 m","2.0 m",3,N/A,medium
2015,Paper-II,hydraulics,"The discharge through a channel of rectangular section will be maximum if","Its depth is twice the breadth.","Its breadth is twice the depth.","Its depth is thrice the breadth.","Its breadth is thrice the depth.",2,N/A,medium
2015,Paper-II,hydraulics,"A drop of water maintains its spherical shape on account of its",Cohesion,Adhesion,Viscosity,Capillarity,1,N/A,medium
2015,Paper-II,estimation,"The quantities and unit rate of certain items of work of building are (i) Brick work of 20m³ and ₹2520/- per m³ (ii) Plastering of 150m² and ₹1250/- per m² Calculate the total cost of the items given.","₹50,400 = 00","₹1,87,500 = 00","₹1,37,100 = 00","₹2,37,900 = 00",4,N/A,medium
2015,Paper-II,estimation,"Calculate the quantity of internal plastering for a enclosure as shown below. The height is 3.0m.",10m²,20m²,60m³,60m²,4,N/A,medium
2015,Paper-II,estimation,"Estimate the cost of brick work for a wall of 4m long, 3m high and 30cm thick. The rate of brick work is ₹1,500 = 00 per Cu.m.",₹5,40,000,₹54,000,₹18,000,₹5,400,4,N/A,medium
2015,Paper-II,estimation,"Calculate the quantity of earth work by mid-ordinate method, for 200m length of a portion of road in an uniform ground. The heights of banks at the two ends being 1.00m and 2.00m. The formation width is 10m and side slope 2:1.","3800 Cu.m","3900 Cu.m","3950 Cu.m","4000 Cu.m",4,N/A,medium
2015,Paper-II,estimation,"As per IS 3861:2002, in the detailed estimate the volumes are worked out to the nearest of","0.01 Cu.m","0.05 Cu.m","0.005 Cu.m","0.001 Cu.m",1,N/A,medium
2015,Paper-II,estimation,"Estimate the rate of metal at site per Cu.m. whose rate at source is ₹800 / Cu.m (including loading & unloading) and lead of 35km @ a rate of ₹20 / km","₹800 = 00","₹700 = 00","₹1500 = 00","₹2000 = 00",3,N/A,medium
2015,Paper-II,estimation,"If 'b' is the width of formation, 'd' is the height of the embankment, of length 'L' and side slope n : 1 for a road, the quantity of earth work is","(b/d + nd)L","(bd + nd²)L","(bd - n√d)L²","L/2(bd + nd²)",2,N/A,medium
2015,Paper-II,estimation,"Abstract estimate is","Estimation of quantities of various items of work","Estimation of unit rates of various items of work","Estimation of cost of various items of work","Estimation of leads of various items of work",3,N/A,medium
2015,Paper-II,estimation,"Detailed specifications includes","Rates of various items of work","Measurements taken after execution of work","Quantities of items dumped at site","Quantities and qualities of materials.",4,N/A,medium
2015,Paper-II,rcc,"The relation between modulus of rupture (f_cr) and characteristic compressive strength (f_ck) is given by","f_cr = 0.7 f_ck","f_cr = 0.7 √f_ck","f_cr = 0.75 f_ck","f_cr = 0.7 / √f_ck",2,N/A,medium
2015,Paper-II,rcc,"The approximate value of the total shrinkage strain in concrete for design is taken as",0.0001,0.0003,0.002,0.0035,2,N/A,medium
2015,Paper-II,rcc,"A beam of 400 mm effective depth with a neutral axis constant of 0.39, the value of lever arm is","250 mm","300 mm","348 mm","358 mm",3,N/A,medium
2015,Paper-II,rcc,"For vertical stirrups, the maximum spacing of shear reinforcement measured along the axis of the member shall not exceed","0.75 d","0.40 d","0.15 d","0.12 d",1,N/A,medium
2015,Paper-II,rcc,"Calculate the pitch of lateral ties for a column of 300 mm square with 20 mm dia longitudinal bar and 8 mm φ lateral tie.","384 mm","320 mm","300 mm","280 mm",3,N/A,medium
2015,Paper-II,rcc,"Calculate the strength of fillet weld per 1 mm of 6 mm size with allowable shear stress in the weld 100 Mpa.","700 N","600 N","424 N","420 N",3,N/A,medium
2015,Paper-II,rcc,"The section modulus and the plastic modulus of a section are Z and P respectively. Then its shape factor is given by","Z/P","P/Z","(P - Z)/P","(P - Z)/Z",2,N/A,medium
2015,Paper-II,rcc,"The lacing of a compression member is designed to resist a total transverse shear 'V' equal to","1.25% of the axial force in the member","1.5% of the axial force in the member","2.0% of the axial force in the member","2.5% of the axial force in the member",4,N/A,medium
2015,Paper-II,rcc,"In case of limit state, the maximum strain in concrete at the outermost compression fibre in bending is",0.35,0.035,0.0035,0.002,3,N/A,medium
2015,Paper-II,rcc,"In the designation of a concrete mix, the letter 'M' and the number stands for","Mix and characteristic compressive strength of 100 mm cube at 28 days","Mix and characteristic compressive strength of 75 mm cube at 28 days","Mix and characteristic compressive strength of 150 mm cube at 28 days","Mix and characteristic compressive strength of 125 mm cube at 28 days",3,N/A,medium
2015,Paper-II,rcc,"The size of the rectangular section is fixed and the moment of resistance of a singly reinforced section is less than design moment. The beam shall be designed as","Under reinforced","Over reinforced","Doubly reinforced","Compressive failure",3,N/A,medium
2015,Paper-II,rcc,"In M20 & M25, the number is characteristic compressive strength in N/mm² at days.",7,14,21,28,4,N/A,medium
2015,Paper-II,rcc,"The grade of concrete generally not used in the reinforced concrete is",M40,M25,M20,M10,4,N/A,medium
2015,Paper-II,rcc,"If the given bending moment is greater than moment of resistance of balanced section, then the section is","Balanced section","Under-reinforced section","Over-reinforced section","Critical section",3,N/A,medium
2015,Paper-II,rcc,"Modulus of elasticity of steel shall be taken as","200 kN/mm²","2×10³ N/mm²","2×10⁴ N/mm²","2×10² N/mm²",1,N/A,medium
2015,Paper-II,hydrology,"The area between the 180 hytes 0.45 and 0.55 m is 100 Sq.km and between 0.55 and 0.60 m is of 150 Sq.km. The average depth of annual precipitation over the above basin of 250 Sq.km will be","0.50 m","0.55 m","0.56 m","0.60 m",3,N/A,medium
2015,Paper-II,hydrology,"Duty should clearly state","Time of measurement of water","Place of measurement of water","Method of measurement of water","Maximum rainfall",2,N/A,medium
2015,Paper-II,hydrology,"If the catchment area is 100 Sq. km and the value of constant is 12.47, then the maximum flood discharge as per Dicken's formula is","Q = 12.47×100^(2/3)","Q = 100×12.47^(3/4)","Q = 100×12.47^(2/3)","Q = 12.47×100^(3/4)",4,N/A,medium
2015,Paper-II,hydrology,"The escape of earth from underneath the foundation of a weir along with the percolated water results in a phenomenon called",Piping,Creep,Uplift,Scour,1,N/A,medium
2015,Paper-II,hydrology,"The net free board is","Difference of level between MWL and FRL.","Difference between top of dam and MWL.","Difference between top of dam and FRL.","Difference between top of dam and bed level.",2,N/A,medium
2015,Paper-II,hydrology,"A canal which is aligned at right angles to the contour is called","Contour canal","Watershed canal","Ridge canal","Side slope canal",1,N/A,medium
2015,Paper-II,hydrology,"The sill of the notches in a canal is kept at","Bed level of downstream channel","FSL of upstream channel","FSL of down-stream channel","Bed level of upstream channel",4,N/A,medium
2015,Paper-II,hydrology,"The process of making unfertile barren land as fertile land is called","Soil conservation","Land reclamation","Gully erosion","Afforestation",2,N/A,medium
2015,Paper-II,hydrology,"Correct statement from the following is","Crop period is slightly more than base period.","Base period is slightly more than crop period.","Crop period is equal to the base period.","Crop period and base period are expressed in hours.",1,N/A,medium
2015,Paper-II,hydrology,"Pick out the factor which does not affect runoff","Shape of catchment","Existence of vegetation","Type of soil","Existence of building",4,N/A,medium
2015,Paper-II,hydrology,"The major resisting force in a gravity dam is","Water pressure","Wave pressure","Self weight of dam","Uplift pressure",3,N/A,medium
2015,Paper-II,hydrology,"Dead storage in a reservoir is provided","Io meet emergency needs","To mitigate floods","To accommodate the sill-trapped in the reservoir","To increase the useful life period",3,N/A,medium
2015,Paper-II,hydrology,"A surplus weir of an earthen dam with stepped apron is classified as","Type - A","Type - B","Type - C","Type - D",2,N/A,medium
2015,Paper-II,hydrology,"Generally irrigation can be practiced on one side of a","Contour canal","Side slope canal","Ridge canal","Branch canal",2,N/A,medium
2015,Paper-II,hydrology,"A canal which will not intercept any natural drainage is called as","Contour canal","Side slope canal","Ridge canal","Branch canal",3,N/A,medium
2015,Paper-II,hydrology,"The method used to remove the salinity of the soil is","Flood irrigation","Sprinkler irrigation","Leaching","Surface irrigation",3,N/A,medium
2015,Paper-II,hydrology,"The average Δ of rice crop is nearer to","400 mm","800 mm","1200 mm","1600 mm",3,N/A,medium
2015,Paper-II,hydrology,"Water loss through the leaves of plants is termed as",Precipitation,Infiltration,Transpiration,"Surface evaporation",3,N/A,medium
2015,Paper-II,hydrology,"A divide wall is constructed for the purpose of","Controlling seepage","Scouring the silt","Creating a still pond","Providing a fish passage",3,N/A,medium
2015,Paper-II,hydrology,"A rock toe filter in an earthen dam is provided on","Upstream end of the bund","Under the base of the bund","Downstream end of the bund","At the centre of the bund along the length",3,N/A,medium
2015,Paper-II,environmental,"The formula P_n = P(1 + r/100)^n is used for forecasting population by","Arithmetical increase method","Geometrical increase method","Incremental increase method","Graphical method",2,N/A,medium
2015,Paper-II,environmental,"The geological formation which yields sufficient quantity of water is called",Aquifuge,Aquiclude,Aquifer,Aquitard,3,N/A,medium
2015,Paper-II,environmental,"Hardness is expressed in mg/l as","Ca(HCO₃)₂",CaCO₃,Ca(OH)₂,CaSO₄,2,N/A,medium
2015,Paper-II,environmental,"Super chlorination is done","In day to day practice","During an epidemic","During winter","During summer",2,N/A,medium
2015,Paper-II,environmental,"The normal temperature of sewage when compared to that of water is generally",Lower,Higher,Same,"Has no relation",2,N/A,medium
2015,Paper-II,environmental,"The detention period in primary sedimentation tank in a sewage treatment plant is","1 to 3 hrs","4 to 8 hrs","8 to 12 hrs","12 to 18 hrs",1,N/A,medium
2015,Paper-II,environmental,"The upper most layer of atmosphere is called",Stratosphere,Mesosphere,Ionosphere,Exosphere,4,N/A,medium
2015,Paper-II,environmental,"The base of cone of depression is called","Circle of influence","Radius of influence","Draw down","Specific yield",1,N/A,medium
2015,Paper-II,environmental,"Presence of chlorides and sulphates of calcium and magnesium in water causes",Acidity,"Temporary hardness","Permanent hardness",Softness,3,N/A,medium
2015,Paper-II,environmental,"Odour and taste is controlled by",Disinfection,Aeration,Coagulation,"Soda-lime process",2,N/A,medium
2015,Paper-II,environmental,"Distribution layout in which the mains, sub-mains and branches are interconnected with each other is","Tree-System","Grid Iron System","Radial System","Dead end System",2,N/A,medium
2015,Paper-II,environmental,"The valves which are used to remove the sediment in a pipe line is called","Drain valve","Scour valve","Air valve","Sluice valve",2,N/A,medium
2015,Paper-II,environmental,"The deplorable aspect of conservancy system is","Recurring cost is high.","Vehicles are required to carry night soil.","Vast areas for disposal are necessary.","Human element is involved in collection and transportation of human waste.",4,N/A,medium
2015,Paper-II,environmental,"The settleable faecal and other organic solids are removed in","Activated sludge process","Trickling filter","Primary sedimentation tank","Secondary sedimentation tank",3,N/A,medium
2015,Paper-II,environmental,"A water borne disease is",Malaria,Plague,Dysentery,Encephalitis,3,N/A,medium
2015,Paper-II,environmental,"The permissible turbidity in mg// for potable water is","30-40","20-30","10-15","5-10",4,N/A,medium
2015,Paper-II,environmental,"Over flow pipes are provided in service reservoirs at","Floor level","Top of the reservoir","Full reservoir level","Mid level",3,N/A,medium
2015,Paper-II,environmental,"For ease in the design of sewers, the following are made use of","Thumb rules",Nomograms,"Emperical formulae","Hydraulic formulae",4,N/A,medium
2015,Paper-II,environmental,"The hydraulic mean depth of a circular sewer running half full is equal to","d/2","d/4","d/6","d/8",2,N/A,medium
2015,Paper-II,environmental,"The animals which feed directly on living plant or plant remains are called",Carnivores,Annivores,Herbivores,Macrophytes,3,N/A,medium
2015,Paper-II,transportation,"A common problem in hill roads is",Skid,Earthquake,Slip,"Land slide",4,N/A,medium
2015,Paper-II,transportation,"Calculate the rise of crown with respect to edges for a cement concrete road of 10.00 m width and situated in areas of heavy rainfall.","0.01 m","0.05 m","0.07 m","0.10 m",4,N/A,medium
2015,Paper-II,transportation,"When an ascending gradient 1 in 100 meets with a descending gradient of 1 in 20, calculate the deviation angle (N)","1/600","11/600","15/600","30/600",2,N/A,medium
2015,Paper-II,transportation,"A pavement has a horizontal curve of 1000 m for a design speed of 75 kmph. The superelevation is","1 in 70","1 in 60","1 in 40","1 in 50",1,N/A,medium
2015,Paper-II,soil-mechanics,"A soil has a volume of 100cm³ and mass of 200gr on over drying for 24 hrs. The mass is reduced to 100gr. Calculate the dry density.","9.81 kN/m³","14.72 kN/m³","19.62 kN/m³","24.53 kN/m³",3,N/A,medium
2015,Paper-II,soil-mechanics,"A soil deposit having water content 15%, specific gravity 2.5 and voids ratio 0.5, calculate degree of saturation.","50%","70%","75%","90%",3,N/A,medium
2015,Paper-II,transportation,"Exceptional gradient in plains as per IRC","1 in 90","1 in 15","1 in 40","1 in 30",3,N/A,medium
2015,Paper-II,soil-mechanics,"As per IS soil classification, inorganic soils with low compressibility are represented by",MH,SL,ML,OL,3,N/A,medium
2015,Paper-II,soil-mechanics,"As per IS soil classification, clays, organic soils are represented by",MH,SL,ML,OH,4,N/A,medium
2015,Paper-II,soil-mechanics,"As per IS soil classification Gravelly soils, more than half of the grains larger than IS Sieve 480 are represented by",GM,GL,GS,SM,1,N/A,medium
2015,Paper-II,soil-mechanics,"A soil sample has a porosity of 50%, calculate voids ratio",3.0,1.0,0.5,0.33,2,N/A,medium
2015,Paper-II,soil-mechanics,"A soil has a volume of 100cm³ and mass of 200gr on over drying for 24 hrs, the mass is reduced to 150gr. Calculate the water content","30%","33%","50%","55%",2,N/A,medium
2015,Paper-II,soil-mechanics,"A soil has a volume of 100cm³ and mass of 200gr on over drying for 24 hrs, the mass is reduced to 150gr. Calculate the bulk density.","9.81 kN/m³","14.72 kN/m³","19.62 kN/m³","24.53 kN/m³",3,N/A,medium
2015,Paper-II,transportation,"Layout of centre line of the highway on the ground is called as","Setting out","Stake out",Alignment,"Base line",3,N/A,medium
2015,Paper-II,transportation,"Alternate routes for a highway project are suggested by the study of","Political map","Traffic map","Topographic map","Road map",3,N/A,medium
2015,Paper-II,transportation,"IRC Committee was appointed by the Government with M.R. Jayaker as chairman in",1920,1925,1926,1927,4,N/A,medium
2015,Paper-II,transportation,"In urban areas, when the volume of cycle traffic in high, minimum width provided for the cycle track is","3.5m","3.0m","2.0m","1.5m",3,N/A,medium
2015,Paper-II,transportation,"To divide the traffic moving in opposite direction is provided.",Kerb,Footpath,Median,"Drive way",3,N/A,medium
2015,Paper-II,soil-mechanics,"Pycnometer is used","to measure only specific gravity","to measure only water content","to measure specific gravity and water content","to measure specific area",3,N/A,medium
2015,Paper-II,soil-mechanics,"Water formed transported soil is",Loess,Glacier,Alluvial,Marine,3,N/A,medium
2023,Paper-II,surveying,"Which of the following is the correct feature of geostationary satellites?","These have same distance from the Earth's center.","These have same speed as the Earth's rotation.","These have same mass as global weight.","These have same angle with geodetic stations.",2,N/A,medium
2023,Paper-II,surveying,"Calculate the magnetic declination at a place if the magnetic bearing of the sun at noon is 187°.","7° W","7° N","7° E","7° S",1,N/A,medium
2023,Paper-II,surveying,"Which of the following rules related to 'scale' is True or False? Rule 1: Choose a scale large enough... Rule 2: Choose as small a scale...","Rule 1 is True and Rule 2 is False","Rule 1 is False and Rule 2 is True","Both Rule 1 & Rule 2 are True","Both Rule 1 & Rule 2 are False",3,N/A,medium
2023,Paper-II,surveying,"Which of the following statement(s) is/are incorrect about characteristics of contour lines? (i) Irregular contours represent uneven ground. (ii) A contour line must close onto itself, not necessarily within the limits of a map. (iii) Equally spaced concentric contour lines represent an overhanging cliff.","Only (i)","Only (ii)","Only (iii)","(i) and (ii) only",3,N/A,medium
2023,Paper-II,surveying,"Arrange the following length measurements in the increasing order. A. One Mile length B. One Gunter chain length C. One Furlong length D. One Revenue chain length","A, B, C, D","D, B, C, A","D, C, B, A","C, A, B, D",2,N/A,medium
2023,Paper-II,surveying,"Which of the following is the correct chronological order (from the earliest to the latest) of temporary adjustments for Levelling Instrument? P. Elimination of Parallax Q. Setting up the level R. Levelling up","Q, R, P","R, Q, P","P, Q, R","Q, P, R",1,N/A,medium
2023,Paper-II,building-materials,"What is the maximum limit of cold water absorption for Common Burnt Clay Bricks of Class Designation 30, according to IS 1077: 1992?","20%","10%","15%","25%",3,N/A,medium
2023,Paper-II,building-materials,"Which of the following statement is/are correct or incorrect related to determination of compressive strength of Ordinary Portland cement according to IS: 4031 (Part 6) - 1988? Statements: 1. The side of the cubical testing mould is 50.6mm 2. The curing temperature in water should be 27±2°C","Both statements are correct","Statement 1 is incorrect and statement 2 is correct","Both statements are incorrect","Statement 1 is correct and statement 2 is incorrect",1,N/A,medium
2023,Paper-II,building-materials,"Arrange the given manufacturing steps of Encaustic tiles in the chronological order (from the earliest to the latest). A. The maker's name is stamped on the back. B. The coarser clay body is put on the back of the face and also a thin coat to form the back. C. The face is moulded to the desired pattern. D. A few holes are kept for joining with cement during laying.","D, B, C, A","A, B, C, D","B, C, D, A","C, B, A, D",4,N/A,medium
2023,Paper-II,building-materials,"Which of the following statements is/are correct with respect to Good Timber? Statements: (i) The well- seasoned timber with high weight is considered to be sound and strong. (ii) A good timber should have high water permeability. (iii) A dull heavy sound, when struck, indicates decayed timber.","(i) and (ii) only","Only (ii)","Only (iii)","(i) and (iii) only",4,N/A,medium
2023,Paper-II,building-materials,"As per IS 1141: 1993 and for the purpose of seasoning, 'Highly Refractory' timbers are classified as depending upon their behaviour with respect to cracking and splitting, and drying rate.","Class D","Class C","Class A","Class B",1,N/A,medium
2023,Paper-II,building-materials,"Which of the following types of plaster is used in X- Ray rooms as the final coat?","Acoustic Plaster","Asbestos-Marble Plaster","Barium Plaster","Granite Silicon Plaster",3,N/A,medium
2023,Paper-II,building-materials,"According to National Building Code (NBC) 2016 Part 6 Section 2, for general guidance, what will be the correct depth of exploration (D) at the start of the work if the type of foundation is Raft?","2 m below ground level or equal to the height of the fill, whichever is greater","Equal to the bottom width of the cut","One and half times the Length (L) of footing","One and a half times the width (B)",1,N/A,medium
2023,Paper-II,building-materials,"Arrange the following parts of the well foundation in sequential order from bottom to top. A. Steining B. Well Cap C. Well Curb D. Cutting Edge","A, D, C, B","D, C, B, A","A, B, C, D","D, C, A, B",4,N/A,medium
2023,Paper-II,estimation,"How much area should be increased for color washing of corrugated steel sheet?","25%","14%","50%","35%",2,N/A,medium
