year,paper,subject_slug,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,difficulty
2023,Paper-I,current-affairs,"Who was honoured with the Tenzing Norgay National Adventure Award in the Water Adventure category for the year 2021?","Naina Dhakad","Shubham Dhananjay Vanmali","Kunwar Bhawani Singh Samyal","Priyanka Mohite",2,"Shubham Dhananjay Vanmali received the Tenzing Norgay National Adventure Award 2021 in the Water Adventure category.",medium
2023,Paper-I,current-affairs,"Which of the following statements is/are correct in the context of National Games 2022? I. Haryana won the joint highest number of silver medals. II. Delhi won the second highest number of bronze medals.","Only I","Only II","Both I and II","Neither I nor II",1,"Haryana won the joint highest number of silver medals (10) with Gujarat. Delhi won the highest (not second highest) number of bronze medals (12). Statement I is correct, II is incorrect.",medium
2023,Paper-I,current-affairs,"Who of the following won the Arjuna Awards 2022 in chess? I. Bhakti Pradip Kulkarni II. R Praggnanandhaa","Only I","Only II","Both I and II","Neither I nor II",2,"R Praggnanandhaa won the Arjuna Award in 2022 for chess. Bhakti Pradip Kulkarni did not receive the award in 2022.",medium
2023,Paper-I,general-science,"Normally rain water has a pH of ______.","3.8","4.2","5.6","6.4",3,"Normal rainwater has a pH of about 5.6 due to the presence of carbon dioxide forming carbonic acid. Lower pH indicates acid rain.",medium
2023,Paper-I,environmental,"Which of the following constitutes the biotic component of the biosphere? I. Plants II. Air","Only I","Only II","Both I and II","Neither I nor II",1,"Plants are biotic (living) components of the biosphere. Air is abiotic (non-living). So Only I is correct.",medium
2023,Paper-I,environmental,"Which of the following statements is/are correct regarding Chlorofluorocarbons (CFCs)? I. CFCs are used in refrigerators, air conditioners, and aerosol sprays. II. CFCs damage the ozone layer in the atmosphere.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: CFCs are used in refrigerators, ACs, and aerosol sprays, and they deplete the ozone layer in the stratosphere.",medium
2023,Paper-I,general-science,"Which of the following is a natural source of tartaric acid?","Tamarind","Tomato","Vinegar","Brinjal",1,"Tamarind is a natural source of tartaric acid. Vinegar contains acetic acid, tomatoes contain citric acid.",medium
2023,Paper-I,general-science,"Anaemia is caused by the deficiency of ______.","Vitamin D","Phosphorus","Iodine","Iron",4,"Anaemia is caused by iron deficiency, which leads to reduced hemoglobin production and decreased oxygen-carrying capacity of blood.",medium
2023,Paper-I,general-science,"Which of the following statements is/are correct regarding Mycoplasma? I. They completely lack a cell wall. II. They can survive without oxygen.","Only I","Only II","Both I and II","Neither I nor II",3,"Mycoplasma lack a cell wall and can survive without oxygen (facultative anaerobes). Both statements are correct.",medium
2023,Paper-I,general-science,"What is the molecular formula of glucose?","C₆H₆O₁₂","C₆H₁₈O₁₂","C₆H₁₂O₁₈","C₆H₁₂O₆",4,"The molecular formula of glucose is C₆H₁₂O₆, representing six carbon, twelve hydrogen, and six oxygen atoms.",medium
2023,Paper-I,general-science,"Which of the following is a main source of Vitamin C? I. Guava II. Egg","Only I","Only II","Both I and II","Neither I nor II",1,"Guava is a rich source of Vitamin C. Eggs do not contain significant amounts of Vitamin C. So Only I is correct.",medium
2023,Paper-I,general-science,"Which of the following pairs of 'substance – chemical formula' is/are correctly matched? I. Washing soda – Na₂CO₃ II. Plaster of Paris – CaOCl₂","Only I","Only II","Both I and II","Neither I nor II",1,"Washing soda is Na₂CO₃ (correct). Plaster of Paris is CaSO₄·½H₂O, not CaOCl₂ (which is bleaching powder). So Only I is correct.",medium
2023,Paper-I,general-science,"Which of the following organisms belongs to the phylum Annelida? I. Scorpion II. Earthworm","Only I","Only II","Both I and II","Neither I nor II",2,"Earthworm belongs to phylum Annelida. Scorpion belongs to phylum Arthropoda (class Arachnida). So Only II is correct.",medium
2023,Paper-I,disaster-management,"In August 1999, a High Powered Committee on Disaster Management was constituted under the Chairmanship of ______.","J.C. Pant","P.K. Sinha","A.K. Bhalla","D.S. Mishra",1,"The High Powered Committee on Disaster Management in August 1999 was chaired by J.C. Pant, which led to the Disaster Management Act.",medium
2023,Paper-I,disaster-management,"The Central Soil and Water Conservation Research and Training Institute is located in ______.","Chandigarh","Dehradun","Hyderabad","Bengaluru",2,"The Central Soil and Water Conservation Research and Training Institute is located in Dehradun, Uttarakhand.",medium
2023,Paper-I,disaster-management,"Which of the following is a natural hazard? I. Landslide II. Building collapse","Only I","Only II","Both I and II","Neither I nor II",1,"Landslide is a natural hazard caused by geological factors. Building collapse is a man-made hazard. So Only I is correct.",medium
2023,Paper-I,disaster-management,"As per the final report of the High Powered Committee on Disaster management, which of the following is/are categorised under Geologically related Hazards? I. Droughts II. Earthquakes","Only I","Only II","Both I and II","Neither I nor II",2,"Earthquakes are geologically related hazards. Droughts are climatological hazards (water-related). So Only II is correct.",medium
2023,Paper-I,disaster-management,"In India, about ______ percent of the landmass is prone to earthquakes of various intensities.","40","50","60","70",3,"About 60% of India's landmass is prone to earthquakes of various intensities, with Zone V being the most active.",medium
2023,Paper-I,disaster-management,"Which of the following statements is/are correct in the context of major disasters in India since 1970? I. An earthquake of magnitude 6.6 killed more than 700 people in Uttarkashi on 20th October 1991. II. Approximately 8000 people died and there was a heavy loss to infrastructure in Latur on 30th September 1993.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: Uttarkashi earthquake (1991, 6.6 magnitude) killed over 700 people, and Latur earthquake (1993) killed approximately 8000 people.",medium
2023,Paper-I,environmental,"The lowest region of atmosphere in which the human beings along with other organisms live is called ______.","Troposphere","Stratosphere","Thermosphere","Exosphere",1,"The troposphere is the lowest layer of the atmosphere where humans and most organisms live, extending from ground level up to about 12-15 km.",medium
2023,Paper-I,environmental,"______ refers to the increase in concentration of toxins at successive trophic levels.","Biomagnification","Eutrophication","Detoxification","Bioremediation",1,"Biomagnification (or bioamplification) is the increase in concentration of toxins (like DDT, mercury) at successive trophic levels in a food chain.",medium
2023,Paper-I,environmental,"Which of the following is a greenhouse gas? I. Sulphur dioxide II. Carbon dioxide","Only I","Only II","Both I and II","Neither I nor II",2,"Carbon dioxide is a greenhouse gas. Sulphur dioxide is a pollutant but not a major greenhouse gas; it contributes to acid rain.",medium
2023,Paper-I,environmental,"Which of the following is/are correct regarding the consequence of deforestation? I. Soil erosion II. Desertification","Only I","Only II","Both I and II","Neither I nor II",3,"Both soil erosion and desertification are major consequences of deforestation, as trees bind the soil and maintain the water cycle.",medium
2023,Paper-I,environmental,"Which of the following is/are correct regarding the greenhouse effect? I. It is a naturally occurring phenomenon responsible for heating of Earth's surface and atmosphere. II. It is caused due to excessive accumulation of biodegradable substance in water system.","Only I","Only II","Both I and II","Neither I nor II",1,"The greenhouse effect is a natural phenomenon that warms the Earth. Statement II is incorrect; it describes eutrophication, not the greenhouse effect.",medium
2023,Paper-I,environmental,"Which of the following is an advantage of CNG over petrol or diesel? I. Pipelines can be laid to supply CNG. II. CNG cannot be siphoned off like petrol or diesel.","Only I","Only II","Both I and II","Neither I nor II",2,"CNG cannot be siphoned off like petrol/diesel, making it more secure. Pipelines are not an advantage unique to CNG. So Only II is correct.",medium
2023,Paper-I,environmental,"Which of the following statements is/are correct regarding the '3R' principle? I. Reduce is the first and most important principle of the 3R. II. Recycling involves using the same item repeatedly for the same purpose.","Only I","Only II","Both I and II","Neither I nor II",1,"Reduce is the most important principle (prevention first). Recycling involves processing waste into new products, not using the same item repeatedly (which is reuse). So Only I is correct.",medium
2023,Paper-I,geography,"The outermost range of the Himalayas is called the ______.","Himadri","Shiwaliks","Himachal","Purvachal",2,"The outermost (southernmost) range of the Himalayas is the Shiwaliks (Siwalik Hills), also known as the Outer Himalayas.",medium
2023,Paper-I,geography,"Which of the following statements is/are correct regarding the Godavari river? I. It rises from the slopes of the Western Ghats in the Nasik district of Maharashtra. II. It drains into the Arabian Sea.","Only I","Only II","Both I and II","Neither I nor II",1,"Godavari rises in Nasik, Maharashtra (Western Ghats). It drains into the Bay of Bengal, not the Arabian Sea. So Only I is correct.",medium
2023,Paper-I,geography,"Which of the following statements is/are correct regarding alluvial soil? I. Old alluvial soil is called Khadar and new alluvial is called Bangar. II. Khadar is more fertile than the bangar.","Only I","Only II","Both I and II","Neither I nor II",2,"Statement I is reversed: Khadar is new alluvial soil, Bangar is old alluvial soil. Khadar is more fertile than Bangar. So Only II is correct.",medium
2023,Paper-I,geography,"Which of the following statements is/are correct regarding the northern plain of India? I. It has been formed by the interplay of the Indus, the Ganga and the Brahmaputra along with their tributaries. II. The plain is about 2400 km long.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: the northern plain is formed by the Indus, Ganga, Brahmaputra and their tributaries, and is approximately 2400 km long.",medium
2023,Paper-I,geography,"Which of the following statements is/are correct regarding the climate of India? I. The cold weather season begins from mid November in northern India and stays till February. II. December and January are the coldest months in the northern part of India.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: cold weather season in north India runs from mid-November to February, with December and January being the coldest months.",medium
2023,Paper-I,geography,"Which of the following pairs of 'national park - state' is/are correctly matched? I. Periyar Tiger Reserve - Kerala II. Manas Tiger Reserve - Odisha","Only I","Only II","Both I and II","Neither I nor II",1,"Periyar Tiger Reserve is in Kerala (correct). Manas Tiger Reserve is in Assam, not Odisha. So Only I is correct.",medium
2023,Paper-I,geography,"Which of the following statements is/are correct regarding the Indus river system? I. The river Indus rises in Tibet, near Lake Mansarovar. II. The total length of the Indus is 3900 km.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: Indus rises in Tibet near Lake Mansarovar and has a total length of about 3900 km.",medium
2023,Paper-I,polity,"Fundamental Duties of the citizens have also been enumerated in the Indian constitution by the ______.","32nd Amendment","34th Amendment","42nd Amendment","44th Amendment",3,"Fundamental Duties were added to the Indian Constitution by the 42nd Amendment Act, 1976, on the recommendation of the Swaran Singh Committee.",medium
2023,Paper-I,polity,"Which of the following Articles of the Indian Constitution provides for 'protection of monuments and places and objects of national importance'?","Article 35","Article 39","Article 45","Article 49",4,"Article 49 of the Indian Constitution provides for the protection of monuments, places, and objects of national importance.",medium
2023,Paper-I,polity,"Article 29 of the Indian Constitution provides for which of the following?","Protection in respect of conviction for offences","Protection of interests of minorities","Right against discrimination","Protection of certain rights regarding freedom of speech",2,"Article 29 protects the interests of minorities, including the right to conserve their language, script, and culture.",medium
2023,Paper-I,polity,"Which of the following pairs of 'Article – provision' is/are correctly matched as per the context of the Indian Constitution? I. Article 5 - Citizenship at the commencement of the Constitution. II. Article 10 - Rights of citizenship of certain persons of Indian origin residing outside India.","Only I","Only II","Both I and II","Neither I nor II",1,"Article 5 deals with citizenship at the commencement of the Constitution (correct). Article 10 deals with continuance of citizenship, not persons residing outside India (Article 8 deals with that). So Only I is correct.",medium
2023,Paper-I,polity,"As of August 2023, which of the following states in India does NOT have a bicameral legislature?","Karnataka","Andhra Pradesh","Bihar","West Bengal",4,"West Bengal has a unicameral legislature (only Legislative Assembly). Karnataka, Andhra Pradesh, and Bihar have bicameral legislatures.",medium
2023,Paper-I,polity,"In India, the Governor of a State is appointed by the ______.","Prime Minister","President","Council of Ministers","Vice President",2,"The Governor of a State is appointed by the President of India under Article 155 of the Constitution.",medium
2023,Paper-I,polity,"The ______ acts as the ex-officio Chairman of the Rajya Sabha.","President","Vice President","Prime Minister","Comptroller and Auditor General",2,"The Vice President of India is the ex-officio Chairman of the Rajya Sabha, as per Article 64 of the Constitution.",medium
2023,Paper-I,polity,"If the court finds that a person is holding office but is not entitled to hold that office, it issues the writ of ______.","quo warranto","habeas corpus","mandamus","certiorari",1,"The writ of quo warranto ('by what authority') is used to question the legality of a person holding a public office.",medium
2023,Paper-I,polity,"Which of the following states have more than 30 Lok Sabha constituencies? I. West Bengal II. Madhya Pradesh","Only I","Only II","Both I and II","Neither I nor II",1,"West Bengal has 42 Lok Sabha constituencies (more than 30). Madhya Pradesh has 29 (less than 30). So Only I is correct.",medium
2023,Paper-I,polity,"Which of the following subjects is included in the Union list in the Indian Constitution? I. Forests II. Defence","Only I","Only II","Both I and II","Neither I nor II",2,"Defence is included in the Union List (List I). Forests are in the Concurrent List (List III). So Only II is correct.",medium
2023,Paper-I,polity,"Which of the following statements is/are correct regarding the powers of the Lok Sabha? I. It can Introduce and enact money and non-money bills. II. It can give the Union parliament power to make laws on matters included in the State list.","Only I","Only II","Both I and II","Neither I nor II",1,"Lok Sabha can introduce and enact all types of bills (Statement I correct). Statement II is incorrect; only Rajya Sabha can, with special majority, empower Parliament to make laws on State List subjects under Article 249.",medium
2023,Paper-I,polity,"Which Schedule of the Indian Constitution is related to 'powers, authority and responsibilities of Panchayats'?","Ninth","Tenth","Eleventh","Twelfth",3,"The Eleventh Schedule (Article 243G) lists the powers, authority, and responsibilities of Panchayats in India.",medium
2023,Paper-I,polity,"The Constitutional amendments assigned ______ subjects to the local governments.","16","19","24","29",4,"The 73rd and 74th Constitutional Amendments assigned 29 subjects to the local governments (Panchayats - 29 subjects in 11th Schedule).",medium
2023,Paper-I,polity,"Which of the following constitutional amendments is about rural local governments?","72nd Amendment","73rd Amendment","74th Amendment","75th Amendment",2,"The 73rd Constitutional Amendment Act, 1992, provides for Panchayati Raj institutions (rural local governments).",medium
2023,Paper-I,polity,"Which Article of the Indian Constitution is related to 'powers, authority and responsibilities of Municipalities, etc.'?","Article 243C","Article 243G","Article 243S","Article 243W",4,"Article 243W deals with the powers, authority, and responsibilities of Municipalities under the 74th Amendment.",medium
2023,Paper-I,polity,"Which of the following statements is/are correct regarding local government? I. Local government is government at the village and district level. II. It is convenient for the people to approach the local government for solving their problems both quickly and with minimum cost.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: local government operates at village and district levels, and provides quick, cost-effective solutions to local problems.",medium
2023,Paper-I,history,"Tantia Tope was killed in ______.","1857","1858","1859","1860",3,"Tantia Tope (Ramachandra Pandurang Tope), a key leader of the 1857 revolt, was executed on 18 April 1859.",medium
2023,Paper-I,history,"Who was the Nawab of Bengal during the Battle of Plassey?","Murshid Quli Khan","Alivardi Khan","Mir Qasim","Sirajuddaulah",4,"Sirajuddaulah was the Nawab of Bengal during the Battle of Plassey (1757), which was fought against the British East India Company.",medium
2023,Paper-I,history,"The Vernacular Press Act was enacted in ______.","1876","1877","1878","1879",3,"The Vernacular Press Act was enacted in 1878 by Lord Lytton to restrict the freedom of the Indian-language press.",medium
2023,Paper-I,history,"Which of the following statements is/are correct regarding the origins of the Indian National Congress? I. It was established on 28th December 1885. II. Allan Octavian Hume played a key role in its establishment.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: INC was founded on December 28, 1885, and A.O. Hume played a key role in its formation.",medium
2023,Paper-I,history,"Which of the following pairs of 'organisation - year of formation' is/are correctly matched? I. Indian Industrial and Commercial Congress - 1917 II. Federation of the Indian Chamber of Commerce and Industries - 1927","Only I","Only II","Both I and II","Neither I nor II",3,"Both are correct: Indian Industrial and Commercial Congress was established in 1917, and FICCI was established in 1927.",medium
2023,Paper-I,history,"Which of the following statements is/are correct regarding the Brahmo Samaj? I. It prohibited all forms of idolatry and sacrifice. II. It forbade its members from criticising other religious practices.","Only I","Only II","Both I and II","Neither I nor II",1,"Brahmo Samaj prohibited idolatry and sacrifices (Statement I correct). It did not forbid criticism of other religious practices (Statement II incorrect). So Only I is correct.",medium
2023,Paper-I,history,"Who established the Indian Statistical Institute (ISI) in Calcutta?","M.S. Swaminathan","P.C. Mahalanobis","C.R. Rao","D.R. Kaprekar",2,"P.C. Mahalanobis established the Indian Statistical Institute (ISI) in Calcutta (Kolkata) in 1931.",medium
2023,Paper-I,history,"The Tata Iron and Steel Company (TISCO) was incorporated in ______.","1901","1903","1905","1907",4,"TISCO (now Tata Steel) was incorporated in 1907 by Jamsetji Tata and was established at Jamshedpur.",medium
2023,Paper-I,economy,"Hill Area Development Programmes were initiated during ______.","First Five Year Plan","Third Five Year Plan","Fourth Five Year Plan","Fifth Five Year Plan",3,"Hill Area Development Programmes were initiated during the Fourth Five Year Plan (1969-74) to address the developmental needs of hilly regions.",medium
2023,Paper-I,economy,"Which of the following statements is/are correct in the context of the Green Revolution in India? I. This refers to the large increase in production of foodgrains resulting from the use of high yielding variety (HYV) seeds. II. The use of these seeds required the use of fertilisers and pesticide in the correct quantities as well as regular supply of water.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: Green Revolution involved HYV seeds, and their success required fertilizers, pesticides, and adequate water supply.",medium
2023,Paper-I,economy,"Which of the following statements is/are correct in the context of a capitalist society? I. Only those consumer goods are produced that are in demand. II. The goods produced are distributed among people on the basis of Purchasing Power.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: capitalism produces goods based on demand, and distribution is based on purchasing power (ability to pay).",medium
2023,Paper-I,economy,"Government bonds are issued with original maturity of ______.","less than 120 days","90 days or more","one year or more","less than one year",3,"Government bonds are long-term debt instruments with original maturity of one year or more (up to 30 years or more).",medium
2023,Paper-I,economy,"Price elasticity of demand for a good can be expressed as ______.","percentage change in income / percentage change in price","net change in price / percentage change in demand","percentage change in demand / percentage change in price","net change in quantity / percentage change in supply",3,"Price elasticity of demand = (% change in quantity demanded) / (% change in price).",medium
2023,Paper-I,economy,"The speculative demand for money can be written as (where r is the market rate of interest and rmax and rmin are the upper and lower limits of r)","(rmax + r)/(r - rmin)","(rmax - r)/(r - rmin)","(rmax - r)/(r + rmin)","(rmax + r)/(r + rmin)",2,"Speculative demand for money = (rmax - r)/(r - rmin), representing the Keynesian liquidity preference theory.",medium
2023,Paper-I,economy,"The concept of human development was introduced by ______.","Amartya Sen","Mahbub ul Haq","Jean Drèze","Martha Nussbaum",2,"Mahbub ul Haq introduced the concept of Human Development (UNDP) and the Human Development Index, drawing on Amartya Sen's work on capabilities.",medium
2023,Paper-I,geography,"The National Highways constitute about ______ percent of the total road length in India?","2","4","12","18",1,"National Highways constitute about 2% of the total road length in India but carry about 40% of the traffic.",medium
2023,Paper-I,economy,"Which of the following statements is/are correct regarding the National Bank for Agriculture and Rural Development (NABARD)? I. NABARD was set up in 1972. II. NABARD was set up as an apex body to coordinate the activities of all institutions involved in the rural financing system.","Only I","Only II","Both I and II","Neither I nor II",2,"NABARD was set up in 1982 (not 1972). It is an apex body for rural financing coordination. So Only II is correct.",medium
2023,Paper-I,telangana,"As of July 2023, there are ________ districts in Telangana.","28","33","36","39",2,"As of July 2023, Telangana has 33 districts after the recent reorganization of districts in 2016 and further additions.",medium
2023,Paper-I,telangana,"Annual Normal Rainfall in Telangana is ________ millimetres (mm).","805.4","875.4","905.4","975.4",3,"The annual normal rainfall in Telangana is approximately 905.4 mm, received mostly during the southwest monsoon.",medium
2023,Paper-I,telangana,"Telangana is endowed with a rich diversity of flora and fauna with _____ mammal species.","21","28","103","365",2,"Telangana has about 28 mammal species as per various biodiversity assessments.",medium
2023,Paper-I,telangana,"Which of the following pairs of 'wildlife sanctuary – district' is/are correctly matched? I. Manjira Wild Life Sanctuary - Sangareddy II. Kinnerasani Wild Life Sanctuary - Medak","Only I","Only II","Both I and II","Neither I nor II",1,"Manjira Wildlife Sanctuary is in Sangareddy district (correct). Kinnerasani Wildlife Sanctuary is in Khammam district, not Medak. So Only I is correct.",medium
2023,Paper-I,telangana,"Which of the following statements is/are correct regarding Telangana state statistics as per Census 2011? I. Total number of Municipal Corporations is 129. II. Total number of Gram Panchayats is 12769.","Only I","Only II","Both I and II","Neither I nor II",2,"As per Census 2011, Telangana has 12769 Gram Panchayats (Statement II correct). The number of Municipal Corporations is less than 129. So Only II is correct.",medium
2023,Paper-I,telangana,"As per Census 2011, rural population of Telangana is _____ percent of the total population of the state.","38.88","36.12","61.12","63.88",1,"As per Census 2011, Telangana's rural population was 38.88% of the total population.",medium
2023,Paper-I,telangana,"Which of the following statements is/are correct regarding Telangana state statistics as per Census 2011? I. Total number of inhabited villages is 9834. II. Total number of un-inhabited villages is 379.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: Telangana has 9834 inhabited villages and 379 uninhabited villages as per Census 2011.",medium
2023,Paper-I,telangana,"Telangana registered ______ percent growth rate in production of Foodgrains between 2019-20 and 2020-21.","8.6","14.6","19.6","22.6",3,"Telangana registered 19.6% growth in foodgrains production between 2019-20 and 2020-21, according to government data.",medium
2023,Paper-I,telangana,"In the Export Preparedness Index 2021, Telangana has scored ______ in the Business environment indicator.","85","90","95","100",2,"Telangana scored 90 in the Business environment indicator of the Export Preparedness Index 2021.",medium
2023,Paper-I,telangana,"Which of the following statements is/are correct regarding the Road Transportation network in Telangana? I. 61.80 percent of the total road length in Telangana are rural roads. II. 9.56 percent of the total road length in Telangana are National Highways.","Only I","Only II","Both I and II","Neither I nor II",1,"61.80% of Telangana's road length is rural roads (Statement I correct). National Highways constitute only about 2.8% (not 9.56%). So Only I is correct.",medium
2023,Paper-I,telangana,"Raja Rajeswara (Rajanna) Temple is situated in ______ town of Telangana.","Vemulawada","Alampur","Bhadrachalam","Basara",1,"Raja Rajeswara (Rajanna) Temple is located in Vemulawada, Karimnagar district, dedicated to Lord Shiva.",medium
2023,Paper-I,telangana,"Bathukamma is a festival of _____. This festival is treated as a symbol of Telangana's cultural identity.","bulls","flowers","trumpets","elephants",2,"Bathukamma is a floral festival celebrated in Telangana, where women arrange flowers in a conical shape and worship the goddess Gauri.",medium
2023,Paper-I,telangana,"The narratives of which of the following art forms describe struggles against exploitation?","Golla Suddulu","Oggu Kathalu","Gotralu","Dhoom Dham",2,"Oggu Kathalu are folk narratives that describe struggles against exploitation, performed by the Oggu community in Telangana.",medium
2023,Paper-I,telangana,"Which of the following statements is/are correct in the context of the State symbols of Telangana? I. Tangedu flower is used during the Batukamma festival by women folk. II. Lord Rama worshipped Jammi Chettu before invading Lanka and vanquished Ravana.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: Tangedu flowers are used in Bathukamma, and Lord Rama worshipped Jammi Chettu (Prosopis cineraria) before the Lanka invasion.",medium
2023,Paper-I,telangana,"Which of the following statements is/are correct regarding the Banjara Needle Crafts? I. Banjara Needle Crafts are the traditional handmade fabrics made by Banjaras (the tribal Gypsies) in Telangana. II. It is a form of embroidery and mirror work on fabrics employing the needlecraft.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: Banjara needle crafts are traditional handmade fabrics by Banjaras, involving embroidery and mirror work.",medium
2023,Paper-I,telangana,"Which of the following statements is/are correct regarding Medak Cathedral? I. It was built by Charles Walker Fasnet. II. It was consecrated on 25 December 1904.","Only I","Only II","Both I and II","Neither I nor II",3,"Both statements are correct: Medak Cathedral was built by Charles Walker Fasnet and consecrated on December 25, 1904.",medium
